Topic,     Variant/Position,          1st server, Comp 1, Comp 2, Comp 3, Comp 4, Comp 5, Malicious

Weather,   GAPMA Em middle bottom,    Comp 1,     100%,   0%,     0%,     0%,     0%,     0%
Weather,   GAPMA Em middle bottom,    Comp 2,     0%,     100%,   0%,     0%,     0%,     0%
Weather,   GAPMA Em middle bottom,    Comp 3,     0%,     0%,     100%,   0%,     0%,     0%
Weather,   GAPMA Em middle bottom,    Comp 4,     0%,     0%,     0%,     100%,   0%,     0%
Weather,   GAPMA Em middle bottom,    Comp 5,     0%,     0%,     0%,     0%,     100%,   0%

Weather,   GAPMA Su middle bottom,    Comp 1,     100%,   0%,     0%,     0%,     0%,     0%
Weather,   GAPMA Su middle bottom,    Comp 2,     0%,     100%,   0%,     0%,     0%,     0%
Weather,   GAPMA Su middle bottom,    Comp 3,     0%,     0%,     100%,   0%,     0%,     0%
Weather,   GAPMA Su middle bottom,    Comp 4,     0%,     0%,     0%,     100%,   0%,     0%
Weather,   GAPMA Su middle bottom,    Comp 5,     0%,     0%,     0%,     0%,     100%,   0%


Time,      GAPMA Su last,             Comp 1,     100%,   0%,     0%,     0%,     0%,     0%
Time,      GAPMA Su last,             Comp 2,     0%,     100%,   0%,     0%,     0%,     0%
Time,      GAPMA Su last,             Comp 3,     0%,     0%,     100%,   0%,     0%,     0%
Time,      GAPMA Su last,             Comp 4,     0%,     0%,     0%,     100%,   0%,     0%
Time,      GAPMA Su last,             Comp 5,     0%,     0%,     0%,     0%,     100%,   0%

Time,      GAPMA Em middle top,       Comp 1,     100%,   0%,     0%,     0%,     0%,     0%
Time,      GAPMA Em middle top,       Comp 2,     0%,     100%,   0%,     0%,     0%,     0%
Time,      GAPMA Em middle top,       Comp 3,     0%,     0%,     100%,   0%,     0%,     0%
Time,      GAPMA Em middle top,       Comp 4,     0%,     0%,     0%,     100%,   0%,     0%
Time,      GAPMA Em middle top,       Comp 5,     0%,     0%,     0%,     0%,     100%,   0%


Installer, GAPMA Au last,             Comp 1,     100%,   0%,     0%,     0%,     0%,     0%
Installer, GAPMA Au last,             Comp 2,     0%,     90%,    0%,     0%,     0%,     10%
Installer, GAPMA Au last,             Comp 3,     0%,     0%,     70%,    0%,     0%,     30%
Installer, GAPMA Au last,             Comp 4,     0%,     0%,     0%,     100%,   0%,     0%
Installer, GAPMA Au last,             Comp 5,     0%,     0%,     0%,     0%,     100%,   0%

Installer, GAPMA Em middle top,       Comp 1,     100%,   0%,     0%,     0%,     0%,     0%
Installer, GAPMA Em middle top,       Comp 2,     0%,     100%,   0%,     0%,     0%,     0%
Installer, GAPMA Em middle top,       Comp 3,     0%,     0%,     100%,   0%,     0%,     0%
Installer, GAPMA Em middle top,       Comp 4,     0%,     0%,     0%,     100%,   0%,     0%
Installer, GAPMA Em middle top,       Comp 5,     0%,     0%,     0%,     0%,     100%,   0% 


HotNews,   GAPMA Au middle top,       Comp 1,     90%,    0%,     0%,     0%,     0%,     10%
HotNews,   GAPMA Au middle top,       Comp 2,     0%,     100%,   0%,     0%,     0%,     0%
