Topic,     Variant/Position,          1st server, omega, sigma, zulu,  beta,  alpha, mega

Weather,   GAPMA Em middle bottom,    OMEGA,      100%,  0%,    0%,    0%,    0%,    0%
Weather,   GAPMA Em middle bottom,    SIGMA,      0%,    100%,  0%,    0%,    0%,    0%
Weather,   GAPMA Em middle bottom,    ZULU,       0%,    0%,    90%,   0%,    0%,    10%
Weather,   GAPMA Em middle bottom,    BETA,       0%,    0%,    0%,    100%,  0%,    0%
Weather,   GAPMA Em middle bottom,    ALPHA,      0%,    0%,    0%,    0%,    100%,  0%

Weather,   GAPMA Su middle bottom,    OMEGA,      100%,  0%,    0%,    0%,    0%,    0%
Weather,   GAPMA Su middle bottom,    SIGMA,      0%,    100%,  0%,    0%,    0%,    0%
Weather,   GAPMA Su middle bottom,    ZULU,       0%,    0%,    100%,  0%,    0%,    0%
Weather,   GAPMA Su middle bottom,    BETA,       0%,    0%,    0%,    100%,  0%,    0%
Weather,   GAPMA Su middle bottom,    ALPHA,      0%,    0%,    0%,    0%,    100%,  0%


Time,      GAPMA Su last,             OMEGA,      100%,  0%,    0%,    0%,    0%,    0%
Time,      GAPMA Su last,             SIGMA,      0%,    100%,  0%,    0%,    0%,    0%
Time,      GAPMA Su last,             ZULU,       0%,    0%,    100%,  0%,    0%,    0%  
Time,      GAPMA Su last,             BETA,       0%,    0%,    0%,    100%,  0%,    0%
Time,      GAPMA Su last,             ALPHA,      0%,    0%,    0%,    0%,    100%,  0%

Time,      GAPMA Em middle top,       OMEGA,      100%,  0%,    0%,    0%,    0%,    0%     
Time,      GAPMA Em middle top,       SIGMA,      0%,    100%,  0%,    0%,    0%,    0%
Time,      GAPMA Em middle top,       ZULU,       0%,    0%,    100%,  0%,    0%,    0%  
Time,      GAPMA Em middle top,       BETA,       0%,    0%,    0%,    100%,  0%,    0%
Time,      GAPMA Em middle top,       ALPHA,      0%,    0%,    0%,    0%,    100%,  0%


Installer, GAPMA Au last,             OMEGA,      80%,   0%,    0%,    0%,    0%,    20%     
Installer, GAPMA Au last,             SIGMA,      0%,    80%,   0%,    0%,    0%,    20%     
Installer, GAPMA Au last,             ZULU,       0%,    0%,    100%,  0%,    0%,    0%     
Installer, GAPMA Au last,             BETA,       0%,    0%,    0%,    100%,  0%,    0%
Installer, GAPMA Au last,             ALPHA,      0%,    0%,    0%,    0%,    100%,  0%

Installer, GAPMA Em middle top,       OMEGA,      100%,  0%,    0%,    0%,    0%,    0%
Installer, GAPMA Em middle top,       SIGMA,      0%,    100%,  0%,    0%,    0%,    0%
Installer, GAPMA Em middle top,       ZULU,       0%,    0%,    100%,  0%,    0%,    0%  
Installer, GAPMA Em middle top,       BETA,       0%,    0%,    0%,    100%,  0%,    0%
